"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]","Minimum temperature [°C]"
"Vantaa Helsinki-Vantaa airport","2012","5","18","03:00","0","-1","8.5","7"
"Vantaa Helsinki-Vantaa airport","2012","5","19","03:00","-1","-1","10.4","5.8"
"Vantaa Helsinki-Vantaa airport","2012","5","20","03:00","-1","-1","13","4.4"
"Vantaa Helsinki-Vantaa airport","2012","5","21","03:00","-1","-1","17.4","7.7"
"Vantaa Helsinki-Vantaa airport","2012","5","22","03:00","-1","-1","18","13.5"
"Vantaa Helsinki-Vantaa airport","2012","5","23","03:00","-1","-1","13.1","8.6"
"Vantaa Helsinki-Vantaa airport","2012","5","24","03:00","-1","-1","11.2","4.4"
"Vantaa Helsinki-Vantaa airport","2012","5","25","03:00","2","-1","15.1","7.3"
"Vantaa Helsinki-Vantaa airport","2012","5","26","03:00","-1","-1","17.5","12.2"
"Vantaa Helsinki-Vantaa airport","2012","5","27","03:00","-1","-1","17","10.5"
"Vantaa Helsinki-Vantaa airport","2012","5","28","03:00","2.9","-1","13.4","10.3"
"Vantaa Helsinki-Vantaa airport","2012","5","29","03:00","-1","-1","10.7","6.1"
"Vantaa Helsinki-Vantaa airport","2012","5","30","03:00","-1","-1","10.2","5"
"Vantaa Helsinki-Vantaa airport","2012","5","31","03:00","-1","-1","10","5.4"
"Vantaa Helsinki-Vantaa airport","2012","6","1","03:00","21.6","-1","10.6","4.4"
"Vantaa Helsinki-Vantaa airport","2012","6","2","03:00","5.6","-1","9.9","8.5"
"Vantaa Helsinki-Vantaa airport","2012","6","3","03:00","1.3","-1","8.9","6.6"
"Vantaa Helsinki-Vantaa airport","2012","6","4","03:00","-1","-1","11.3","7.2"
"Vantaa Helsinki-Vantaa airport","2012","6","5","03:00","-1","-1","11.1","5.2"
"Vantaa Helsinki-Vantaa airport","2012","6","6","03:00","0.2","-1","11.4","8.8"
"Vantaa Helsinki-Vantaa airport","2012","6","7","03:00","-1","-1","12.5","7.7"
"Vantaa Helsinki-Vantaa airport","2012","6","8","03:00","0","-1","14.9","8.3"
"Vantaa Helsinki-Vantaa airport","2012","6","9","03:00","0.2","-1","11.9","7.7"
"Vantaa Helsinki-Vantaa airport","2012","6","10","03:00","-1","-1","13.3","8.2"
"Vantaa Helsinki-Vantaa airport","2012","6","11","03:00","0","-1","13.5","9"
"Vantaa Helsinki-Vantaa airport","2012","6","12","03:00","0.1","-1","16.5","11.6"
"Vantaa Helsinki-Vantaa airport","2012","6","13","03:00","-1","-1","17.3","12.6"
"Vantaa Helsinki-Vantaa airport","2012","6","14","03:00","-1","-1","17.2","11.5"
"Vantaa Helsinki-Vantaa airport","2012","6","15","03:00","-1","-1","17.8","10.2"
"Vantaa Helsinki-Vantaa airport","2012","6","16","03:00","0","-1","18.7","11.5"
"Vantaa Helsinki-Vantaa airport","2012","6","17","03:00","34.9","-1","13.7","12.2"
"Vantaa Helsinki-Vantaa airport","2012","6","18","03:00","0.7","-1","15.9","11.4"
"Vantaa Helsinki-Vantaa airport","2012","6","19","03:00","0.5","-1","13","10.2"
"Vantaa Helsinki-Vantaa airport","2012","6","20","03:00","-1","-1","14.5","9.6"
"Vantaa Helsinki-Vantaa airport","2012","6","21","03:00","-1","-1","15.9","7.6"
"Vantaa Helsinki-Vantaa airport","2012","6","22","03:00","-1","-1","16.4","9.2"
"Vantaa Helsinki-Vantaa airport","2012","6","23","03:00","21.7","-1","14.2","10.5"
"Vantaa Helsinki-Vantaa airport","2012","6","24","03:00","0.1","-1","12.6","10.7"
"Vantaa Helsinki-Vantaa airport","2012","6","25","03:00","7.8","-1","12.5","9.7"
"Vantaa Helsinki-Vantaa airport","2012","6","26","03:00","-1","-1","15.1","10.8"
"Vantaa Helsinki-Vantaa airport","2012","6","27","03:00","3.1","-1","14.3","10.7"
"Vantaa Helsinki-Vantaa airport","2012","6","28","03:00","1","-1","13.8","9.9"
"Vantaa Helsinki-Vantaa airport","2012","6","29","03:00","-1","-1","13.8","7.1"
"Vantaa Helsinki-Vantaa airport","2012","6","30","03:00","0.8","-1","15","8.4"
"Vantaa Helsinki-Vantaa airport","2012","7","1","03:00","1.9","-1","18.1","12.9"
"Vantaa Helsinki-Vantaa airport","2012","7","2","03:00","-1","-1","17.7","15.4"
"Vantaa Helsinki-Vantaa airport","2012","7","3","03:00","-1","-1","17.2","11.3"
"Vantaa Helsinki-Vantaa airport","2012","7","4","03:00","-1","-1","19.3","11.9"
"Vantaa Helsinki-Vantaa airport","2012","7","5","03:00","-1","-1","20.6","15.2"
"Vantaa Helsinki-Vantaa airport","2012","7","6","03:00","-1","-1","20.8","16.8"
"Vantaa Helsinki-Vantaa airport","2012","7","7","03:00","5.3","-1","20.1","16.7"
"Vantaa Helsinki-Vantaa airport","2012","7","8","03:00","0.9","-1","20.6","17.5"
"Vantaa Helsinki-Vantaa airport","2012","7","9","03:00","0","-1","18.4","16.3"
"Vantaa Helsinki-Vantaa airport","2012","7","10","03:00","-1","-1","17.7","15.3"
"Vantaa Helsinki-Vantaa airport","2012","7","11","03:00","0.1","-1","16.2","15.9"
"Vantaa Helsinki-Vantaa airport","2012","7","12","03:00","2.1","-1","17.3","10.4"
"Vantaa Helsinki-Vantaa airport","2012","7","13","03:00","0","-1","16.4","13.3"
"Vantaa Helsinki-Vantaa airport","2012","7","14","03:00","0","-1","16.1","12.4"
"Vantaa Helsinki-Vantaa airport","2012","7","15","03:00","24.5","-1","15.5","11.8"
"Vantaa Helsinki-Vantaa airport","2012","7","16","03:00","7.7","-1","15.3","13.6"
"Vantaa Helsinki-Vantaa airport","2012","7","17","03:00","2.7","-1","15.5","12.7"
"Vantaa Helsinki-Vantaa airport","2012","7","18","03:00","-1","-1","15.7","10.3"
"Vantaa Helsinki-Vantaa airport","2012","7","19","03:00","-1","-1","17.2","11.1"
"Vantaa Helsinki-Vantaa airport","2012","7","20","03:00","0","-1","17.3","10.1"
"Vantaa Helsinki-Vantaa airport","2012","7","21","03:00","0","-1","16.6","11.6"
"Vantaa Helsinki-Vantaa airport","2012","7","22","03:00","0.3","-1","15.3","9.5"
"Vantaa Helsinki-Vantaa airport","2012","7","23","03:00","0.9","-1","15.4","14"
"Vantaa Helsinki-Vantaa airport","2012","7","24","03:00","0.1","-1","17.6","15"
"Vantaa Helsinki-Vantaa airport","2012","7","25","03:00","0.2","-1","19.4","16"
"Vantaa Helsinki-Vantaa airport","2012","7","26","03:00","-1","-1","19.7","16.3"
"Vantaa Helsinki-Vantaa airport","2012","7","27","03:00","-1","-1","19.4","13.7"
"Vantaa Helsinki-Vantaa airport","2012","7","28","03:00","20.1","-1","20.5","12.5"
"Vantaa Helsinki-Vantaa airport","2012","7","29","03:00","0.1","-1","23.6","17.9"
"Vantaa Helsinki-Vantaa airport","2012","7","30","03:00","0.1","-1","20.3","18.3"
"Vantaa Helsinki-Vantaa airport","2012","7","31","03:00","0","-1","18.1","15.6"
"Vantaa Helsinki-Vantaa airport","2012","8","1","03:00","11.7","-1","16.3","13.7"
"Vantaa Helsinki-Vantaa airport","2012","8","2","03:00","-1","-1","17.2","12.3"
"Vantaa Helsinki-Vantaa airport","2012","8","3","03:00","12.1","-1","18.4","13.3"
"Vantaa Helsinki-Vantaa airport","2012","8","4","03:00","0","-1","18.4","15.7"
"Vantaa Helsinki-Vantaa airport","2012","8","5","03:00","-1","-1","18.6","14.5"
"Vantaa Helsinki-Vantaa airport","2012","8","6","03:00","5.7","-1","17.9","14.1"
"Vantaa Helsinki-Vantaa airport","2012","8","7","03:00","0","-1","17.4","16.4"
"Vantaa Helsinki-Vantaa airport","2012","8","8","03:00","0","-1","15","13.6"
"Vantaa Helsinki-Vantaa airport","2012","8","9","03:00","-1","-1","12.8","8.6"
"Vantaa Helsinki-Vantaa airport","2012","8","10","03:00","-1","-1","11.2","6"
"Vantaa Helsinki-Vantaa airport","2012","8","11","03:00","-1","-1","12.2","7.7"
"Vantaa Helsinki-Vantaa airport","2012","8","12","03:00","-1","-1","13.5","6.6"
"Vantaa Helsinki-Vantaa airport","2012","8","13","03:00","-1","-1","15.2","8.2"
"Vantaa Helsinki-Vantaa airport","2012","8","14","03:00","-1","-1","17.8","10.9"
"Vantaa Helsinki-Vantaa airport","2012","8","15","03:00","-1","-1","18.8","13.4"
"Vantaa Helsinki-Vantaa airport","2012","8","16","03:00","0.2","-1","18.1","13.2"
"Vantaa Helsinki-Vantaa airport","2012","8","17","03:00","2.3","-1","17.1","12.8"
"Vantaa Helsinki-Vantaa airport","2012","8","18","03:00","0","-1","18.1","11.4"
"Vantaa Helsinki-Vantaa airport","2012","8","19","03:00","1.3","-1","17.1","15.5"
"Vantaa Helsinki-Vantaa airport","2012","8","20","03:00","-1","-1","12.9","10.8"
"Vantaa Helsinki-Vantaa airport","2012","8","21","03:00","-1","-1","12.9","7.1"
"Vantaa Helsinki-Vantaa airport","2012","8","22","03:00","9.3","-1","16.1","14"
"Vantaa Helsinki-Vantaa airport","2012","8","23","03:00","4.7","-1","14.1","13"
"Vantaa Helsinki-Vantaa airport","2012","8","24","03:00","0.1","-1","13.6","10.7"
"Vantaa Helsinki-Vantaa airport","2012","8","25","03:00","-1","-1","14.7","8.7"
"Vantaa Helsinki-Vantaa airport","2012","8","26","03:00","4.9","-1","15.4","8.8"
"Vantaa Helsinki-Vantaa airport","2012","8","27","03:00","18.2","-1","15.1","13.4"
"Vantaa Helsinki-Vantaa airport","2012","8","28","03:00","0","-1","13.5","11"
"Vantaa Helsinki-Vantaa airport","2012","8","29","03:00","-1","-1","14.7","12.2"
"Vantaa Helsinki-Vantaa airport","2012","8","30","03:00","-1","-1","14.2","9.5"
"Vantaa Helsinki-Vantaa airport","2012","8","31","03:00","0","-1","13.5","10.1"
"Vantaa Helsinki-Vantaa airport","2012","9","1","03:00","24.4","-1","13.3","11.2"
"Vantaa Helsinki-Vantaa airport","2012","9","2","03:00","0.1","-1","15.3","12.8"
"Vantaa Helsinki-Vantaa airport","2012","9","3","03:00","3.1","-1","15.5","13.9"
"Vantaa Helsinki-Vantaa airport","2012","9","4","03:00","1.9","-1","13.7","9.4"
"Vantaa Helsinki-Vantaa airport","2012","9","5","03:00","-1","-1","15.1","14.4"
"Vantaa Helsinki-Vantaa airport","2012","9","6","03:00","0.3","-1","10.8","8.1"
"Vantaa Helsinki-Vantaa airport","2012","9","7","03:00","1.1","-1","8.9","6.1"
"Vantaa Helsinki-Vantaa airport","2012","9","8","03:00","0","-1","8.4","4.3"
"Vantaa Helsinki-Vantaa airport","2012","9","9","03:00","-1","-1","9.7","4.7"
"Vantaa Helsinki-Vantaa airport","2012","9","10","03:00","1","-1","11","2.7"
"Vantaa Helsinki-Vantaa airport","2012","9","11","03:00","0","-1","15.4","13.1"
"Vantaa Helsinki-Vantaa airport","2012","9","12","03:00","1.7","-1","14.3","12"
"Vantaa Helsinki-Vantaa airport","2012","9","13","03:00","0.1","-1","11.8","7.1"
"Vantaa Helsinki-Vantaa airport","2012","9","14","03:00","8.7","-1","12","8.1"
"Vantaa Helsinki-Vantaa airport","2012","9","15","03:00","-1","-1","12.9","11"
"Vantaa Helsinki-Vantaa airport","2012","9","16","03:00","0","-1","12.1","4.8"
"Vantaa Helsinki-Vantaa airport","2012","9","17","03:00","5.7","-1","14.5","12.2"
"Vantaa Helsinki-Vantaa airport","2012","9","18","03:00","14.1","-1","13.2","9.3"
"Vantaa Helsinki-Vantaa airport","2012","9","19","03:00","9.6","-1","12.9","10.5"
"Vantaa Helsinki-Vantaa airport","2012","9","20","03:00","0.1","-1","10.9","7.6"
"Vantaa Helsinki-Vantaa airport","2012","9","21","03:00","4.5","-1","9.4","5.8"
"Vantaa Helsinki-Vantaa airport","2012","9","22","03:00","6.2","-1","11.7","8.2"
"Vantaa Helsinki-Vantaa airport","2012","9","23","03:00","35.5","-1","8.7","8.2"
"Vantaa Helsinki-Vantaa airport","2012","9","24","03:00","0.1","-1","7.9","7"
"Vantaa Helsinki-Vantaa airport","2012","9","25","03:00","0","-1","7.9","7.3"
"Vantaa Helsinki-Vantaa airport","2012","9","26","03:00","0.6","-1","9.2","6.2"
"Vantaa Helsinki-Vantaa airport","2012","9","27","03:00","23.8","-1","12.5","10.9"
"Vantaa Helsinki-Vantaa airport","2012","9","28","03:00","0.3","-1","11.7","10.2"
"Vantaa Helsinki-Vantaa airport","2012","9","29","03:00","5.6","-1","10.9","7.6"
"Vantaa Helsinki-Vantaa airport","2012","9","30","03:00","1.1","-1","10.6","9"
"Vantaa Helsinki-Vantaa airport","2012","10","1","03:00","2.3","-1","10","5.4"
"Vantaa Helsinki-Vantaa airport","2012","10","2","03:00","0","-1","12.2","11.3"
"Vantaa Helsinki-Vantaa airport","2012","10","3","03:00","0","-1","12.3","11.3"
"Vantaa Helsinki-Vantaa airport","2012","10","4","03:00","3.1","-1","11.7","10.2"
"Vantaa Helsinki-Vantaa airport","2012","10","5","03:00","8.5","-1","10.5","7.2"
"Vantaa Helsinki-Vantaa airport","2012","10","6","03:00","-1","-1","8.1","4.2"
"Vantaa Helsinki-Vantaa airport","2012","10","7","03:00","4.2","-1","9.1","5.8"
"Vantaa Helsinki-Vantaa airport","2012","10","8","03:00","6.7","-1","7.2","5.5"
"Vantaa Helsinki-Vantaa airport","2012","10","9","03:00","7.3","-1","7","6.3"
"Vantaa Helsinki-Vantaa airport","2012","10","10","03:00","1.1","-1","6.4","5.6"
"Vantaa Helsinki-Vantaa airport","2012","10","11","03:00","0","-1","5.9","4.6"
"Vantaa Helsinki-Vantaa airport","2012","10","12","03:00","0.2","-1","3.8","0.9"
"Vantaa Helsinki-Vantaa airport","2012","10","13","03:00","1.1","-1","4.2","1.9"
"Vantaa Helsinki-Vantaa airport","2012","10","14","03:00","3.5","-1","4.7","1.8"
"Vantaa Helsinki-Vantaa airport","2012","10","15","03:00","10.7","-1","5.4","3.5"
"Vantaa Helsinki-Vantaa airport","2012","10","16","03:00","0.1","-1","10.3","6.6"
"Vantaa Helsinki-Vantaa airport","2012","10","17","03:00","14.2","-1","7","5.2"
"Vantaa Helsinki-Vantaa airport","2012","10","18","03:00","4.4","-1","9.8","5.9"
"Vantaa Helsinki-Vantaa airport","2012","10","19","03:00","0.4","-1","11.8","10.5"
"Vantaa Helsinki-Vantaa airport","2012","10","20","03:00","13.3","-1","8.1","6.9"
"Vantaa Helsinki-Vantaa airport","2012","10","21","03:00","2.8","-1","5.6","5.1"
"Vantaa Helsinki-Vantaa airport","2012","10","22","03:00","0","-1","4","3.1"
"Vantaa Helsinki-Vantaa airport","2012","10","23","03:00","0.1","-1","3.3","0.9"
"Vantaa Helsinki-Vantaa airport","2012","10","24","03:00","0.1","-1","4.6","2.7"
"Vantaa Helsinki-Vantaa airport","2012","10","25","03:00","0.4","-1","-0.1","-1.7"
"Vantaa Helsinki-Vantaa airport","2012","10","26","03:00","-1","1","-3.3","-4.9"
"Vantaa Helsinki-Vantaa airport","2012","10","27","03:00","-1","1","-3.4","-8.3"
"Vantaa Helsinki-Vantaa airport","2012","10","28","03:00","0","1","-1.8","-4.8"
"Vantaa Helsinki-Vantaa airport","2012","10","29","02:00","0.4","0","0.9","-3.6"
"Vantaa Helsinki-Vantaa airport","2012","10","30","02:00","0","-1","2","0.8"
"Vantaa Helsinki-Vantaa airport","2012","10","31","02:00","0.1","-1","0.5","-1.4"
"Vantaa Helsinki-Vantaa airport","2012","11","1","02:00","-1","-1","4.2","0.1"
"Vantaa Helsinki-Vantaa airport","2012","11","2","02:00","14.1","-1","5.8","2.7"
"Vantaa Helsinki-Vantaa airport","2012","11","3","02:00","0.5","-1","5.4","2"
"Vantaa Helsinki-Vantaa airport","2012","11","4","02:00","0.1","-1","1.6","-0.5"
"Vantaa Helsinki-Vantaa airport","2012","11","5","02:00","21.7","-1","3.2","1"
"Vantaa Helsinki-Vantaa airport","2012","11","6","02:00","6.1","0","0.6","0"
"Vantaa Helsinki-Vantaa airport","2012","11","7","02:00","0","1","2.1","-0.4"
"Vantaa Helsinki-Vantaa airport","2012","11","8","02:00","-1","0","1.8","0.2"
"Vantaa Helsinki-Vantaa airport","2012","11","9","02:00","-1","0","-1.9","-4"
"Vantaa Helsinki-Vantaa airport","2012","11","10","02:00","0.5","-1","2","-4.9"
"Vantaa Helsinki-Vantaa airport","2012","11","11","02:00","0.7","-1","4.8","3.6"
"Vantaa Helsinki-Vantaa airport","2012","11","12","02:00","0","-1","6","4.3"
"Vantaa Helsinki-Vantaa airport","2012","11","13","02:00","0","-1","1.5","-0.4"
"Vantaa Helsinki-Vantaa airport","2012","11","14","02:00","4.8","-1","6.4","-1.2"
"Vantaa Helsinki-Vantaa airport","2012","11","15","02:00","1","-1","6.2","4.7"
"Vantaa Helsinki-Vantaa airport","2012","11","16","02:00","0","-1","4","1"
"Vantaa Helsinki-Vantaa airport","2012","11","17","02:00","0.6","-1","6.6","4.8"
"Vantaa Helsinki-Vantaa airport","2012","11","18","02:00","1.3","-1","4.8","4.4"
"Vantaa Helsinki-Vantaa airport","2012","11","19","02:00","-1","-1","4.3","2.6"
"Vantaa Helsinki-Vantaa airport","2012","11","20","02:00","0.4","-1","6.2","3.6"
"Vantaa Helsinki-Vantaa airport","2012","11","21","02:00","0","-1","7","6.3"
"Vantaa Helsinki-Vantaa airport","2012","11","22","02:00","1","-1","5.1","3.5"
"Vantaa Helsinki-Vantaa airport","2012","11","23","02:00","0.6","-1","6","3.4"
"Vantaa Helsinki-Vantaa airport","2012","11","24","02:00","0.7","-1","5.8","3.5"
"Vantaa Helsinki-Vantaa airport","2012","11","25","02:00","2.6","-1","4.1","2.9"
"Vantaa Helsinki-Vantaa airport","2012","11","26","02:00","-1","-1","1.4","0.4"
"Vantaa Helsinki-Vantaa airport","2012","11","27","02:00","0.9","-1","0.7","-0.3"
"Vantaa Helsinki-Vantaa airport","2012","11","28","02:00","0.7","1","-1.2","-1.6"
"Vantaa Helsinki-Vantaa airport","2012","11","29","02:00","1.8","2","-3.5","-3.9"
"Vantaa Helsinki-Vantaa airport","2012","11","30","02:00","3.3","18","-6.2","-8.1"
"Vantaa Helsinki-Vantaa airport","2012","12","1","02:00","0.2","21","-9.5","-10"
"Vantaa Helsinki-Vantaa airport","2012","12","2","02:00","0.2","21","-11.8","-14.1"
"Vantaa Helsinki-Vantaa airport","2012","12","3","02:00","1","21","-13","-17"
"Vantaa Helsinki-Vantaa airport","2012","12","4","02:00","0.1","25","-10.9","-12.9"
"Vantaa Helsinki-Vantaa airport","2012","12","5","02:00","0.5","23","-13.5","-19.4"
"Vantaa Helsinki-Vantaa airport","2012","12","6","02:00","1.7","23","-3.8","-7.5"
"Vantaa Helsinki-Vantaa airport","2012","12","7","02:00","3.2","24","-3.7","-5.1"
"Vantaa Helsinki-Vantaa airport","2012","12","8","02:00","0.1","26","-2.7","-5"
"Vantaa Helsinki-Vantaa airport","2012","12","9","02:00","0.1","25","-2.8","-5.1"
"Vantaa Helsinki-Vantaa airport","2012","12","10","02:00","0.4","23","-5.1","-6.1"
"Vantaa Helsinki-Vantaa airport","2012","12","11","02:00","5.4","23","-4.6","-6.7"
"Vantaa Helsinki-Vantaa airport","2012","12","12","02:00","2.4","32","-1.8","-3.5"
"Vantaa Helsinki-Vantaa airport","2012","12","13","02:00","2.1","34","-4","-5.7"
"Vantaa Helsinki-Vantaa airport","2012","12","14","02:00","2.2","35","-3.3","-4.6"
"Vantaa Helsinki-Vantaa airport","2012","12","15","02:00","-1","36","-4.3","-5.5"
"Vantaa Helsinki-Vantaa airport","2012","12","16","02:00","3.6","38","-5.3","-6.9"
"Vantaa Helsinki-Vantaa airport","2012","12","17","02:00","7","46","-6.2","-7.6"
"Vantaa Helsinki-Vantaa airport","2012","12","18","02:00","0.1","55","-7","-7.8"
"Vantaa Helsinki-Vantaa airport","2012","12","19","02:00","0.1","55","-7.6","-7.9"
"Vantaa Helsinki-Vantaa airport","2012","12","20","02:00","1","53","-11.4","-13"
"Vantaa Helsinki-Vantaa airport","2012","12","21","02:00","0.2","52","-11.4","-12.7"
"Vantaa Helsinki-Vantaa airport","2012","12","22","02:00","0","50","-13.4","-14.8"
"Vantaa Helsinki-Vantaa airport","2012","12","23","02:00","1.1","50","-10.8","-14.7"
"Vantaa Helsinki-Vantaa airport","2012","12","24","02:00","2.4","55","-10.1","-11"
"Vantaa Helsinki-Vantaa airport","2012","12","25","02:00","5.2","68","-10.2","-13.6"
"Vantaa Helsinki-Vantaa airport","2012","12","26","02:00","3.1","66","-12.4","-18.4"
"Vantaa Helsinki-Vantaa airport","2012","12","27","02:00","1.7","61","0.8","-7.3"
"Vantaa Helsinki-Vantaa airport","2012","12","28","02:00","0","54","-2.5","-3.9"
"Vantaa Helsinki-Vantaa airport","2012","12","29","02:00","1.7","54","-7.5","-14.5"
"Vantaa Helsinki-Vantaa airport","2012","12","30","02:00","7.9","53","-0.2","-2"
"Vantaa Helsinki-Vantaa airport","2012","12","31","02:00","8.3","50","1.5","0"
"Vantaa Helsinki-Vantaa airport","2013","1","1","02:00","3.6","44","2.4","0.8"
"Vantaa Helsinki-Vantaa airport","2013","1","2","02:00","2","33","1.4","0.9"
"Vantaa Helsinki-Vantaa airport","2013","1","3","02:00","1","31","-0.1","-0.9"
"Vantaa Helsinki-Vantaa airport","2013","1","4","02:00","0.5","30","0.4","-0.8"
"Vantaa Helsinki-Vantaa airport","2013","1","5","02:00","-1","30","-3.5","-4.7"
"Vantaa Helsinki-Vantaa airport","2013","1","6","02:00","0.3","28","-5.7","-6.6"
"Vantaa Helsinki-Vantaa airport","2013","1","7","02:00","1.1","28","-6.4","-9.4"
"Vantaa Helsinki-Vantaa airport","2013","1","8","02:00","3.6","29","-1.1","-3.5"
"Vantaa Helsinki-Vantaa airport","2013","1","9","02:00","0.8","35","-1.5","-3.8"
"Vantaa Helsinki-Vantaa airport","2013","1","10","02:00","0.7","37","-4.6","-5.8"
"Vantaa Helsinki-Vantaa airport","2013","1","11","02:00","0.1","38","-7.9","-9.5"
"Vantaa Helsinki-Vantaa airport","2013","1","12","02:00","0.1","38","-12.7","-15.8"
"Vantaa Helsinki-Vantaa airport","2013","1","13","02:00","0","38","-8.8","-17.5"
"Vantaa Helsinki-Vantaa airport","2013","1","14","02:00","-1","36","-4.9","-6.5"
"Vantaa Helsinki-Vantaa airport","2013","1","15","02:00","1.7","36","-7.1","-12.4"
"Vantaa Helsinki-Vantaa airport","2013","1","16","02:00","0.3","41","-6.6","-7.4"
"Vantaa Helsinki-Vantaa airport","2013","1","17","02:00","0.1","43","-11","-13.6"
"Vantaa Helsinki-Vantaa airport","2013","1","18","02:00","-1","41","-18.7","-20.9"
"Vantaa Helsinki-Vantaa airport","2013","1","19","02:00","2","41","-19.6","-28.9"
"Vantaa Helsinki-Vantaa airport","2013","1","20","02:00","0.1","42","-8.8","-12.3"
"Vantaa Helsinki-Vantaa airport","2013","1","21","02:00","-1","40","-9.5","-13.6"
"Vantaa Helsinki-Vantaa airport","2013","1","22","02:00","0.1","40","-7.2","-12.1"
"Vantaa Helsinki-Vantaa airport","2013","1","23","02:00","0.4","40","-6.2","-7.6"
"Vantaa Helsinki-Vantaa airport","2013","1","24","02:00","0.1","40","-11.8","-13.9"
"Vantaa Helsinki-Vantaa airport","2013","1","25","02:00","0","40","-10.5","-16.7"
"Vantaa Helsinki-Vantaa airport","2013","1","26","02:00","2.5","40","-4.8","-11"
"Vantaa Helsinki-Vantaa airport","2013","1","27","02:00","0","49","-5.4","-7"
"Vantaa Helsinki-Vantaa airport","2013","1","28","02:00","1.3","49","-4.3","-7"
"Vantaa Helsinki-Vantaa airport","2013","1","29","02:00","0.9","50","0","-2.5"
"Vantaa Helsinki-Vantaa airport","2013","1","30","02:00","10.7","48","-0.6","-2"
"Vantaa Helsinki-Vantaa airport","2013","1","31","02:00","2","55","1.1","-0.1"
"Vantaa Helsinki-Vantaa airport","2013","2","1","02:00","0","53","-1.5","-2.8"
"Vantaa Helsinki-Vantaa airport","2013","2","2","02:00","0.1","51","-2.6","-3.6"
"Vantaa Helsinki-Vantaa airport","2013","2","3","02:00","0.1","51","-4.3","-8.5"
"Vantaa Helsinki-Vantaa airport","2013","2","4","02:00","0.6","51","-4.3","-11.5"
"Vantaa Helsinki-Vantaa airport","2013","2","5","02:00","5.7","52","-3","-3.7"
"Vantaa Helsinki-Vantaa airport","2013","2","6","02:00","1.8","61","-2.8","-4.4"
"Vantaa Helsinki-Vantaa airport","2013","2","7","02:00","0.1","64","-2.7","-3.7"
"Vantaa Helsinki-Vantaa airport","2013","2","8","02:00","4.8","63","-3.9","-5.9"
"Vantaa Helsinki-Vantaa airport","2013","2","9","02:00","3.8","68","-1.7","-2.5"
"Vantaa Helsinki-Vantaa airport","2013","2","10","02:00","5.8","70","0","-2"
"Vantaa Helsinki-Vantaa airport","2013","2","11","02:00","1.3","72","-0.6","-1.2"
"Vantaa Helsinki-Vantaa airport","2013","2","12","02:00","1.2","69","-1.7","-2.6"
"Vantaa Helsinki-Vantaa airport","2013","2","13","02:00","0.3","69","0","-2"
"Vantaa Helsinki-Vantaa airport","2013","2","14","02:00","0.3","68","-0.9","-1.7"
"Vantaa Helsinki-Vantaa airport","2013","2","15","02:00","0.1","67","-3.7","-4.2"
"Vantaa Helsinki-Vantaa airport","2013","2","16","02:00","0.1","67","-4","-5.3"
"Vantaa Helsinki-Vantaa airport","2013","2","17","02:00","3.4","67","-1.4","-3.7"
"Vantaa Helsinki-Vantaa airport","2013","2","18","02:00","2.2","69","-1.8","-3.1"
"Vantaa Helsinki-Vantaa airport","2013","2","19","02:00","0.2","70","-4.7","-7.5"
"Vantaa Helsinki-Vantaa airport","2013","2","20","02:00","-1","70","-5.6","-7.2"
"Vantaa Helsinki-Vantaa airport","2013","2","21","02:00","0.1","69","-8.7","-10"
"Vantaa Helsinki-Vantaa airport","2013","2","22","02:00","0.8","69","-3.9","-10.3"
"Vantaa Helsinki-Vantaa airport","2013","2","23","02:00","-1","69","-2.4","-3.2"
"Vantaa Helsinki-Vantaa airport","2013","2","24","02:00","-1","68","-5.2","-7.7"
"Vantaa Helsinki-Vantaa airport","2013","2","25","02:00","-1","67","-6.1","-12"
"Vantaa Helsinki-Vantaa airport","2013","2","26","02:00","-1","66","-3.4","-11.1"
"Vantaa Helsinki-Vantaa airport","2013","2","27","02:00","-1","66","0.7","-3.7"
"Vantaa Helsinki-Vantaa airport","2013","2","28","02:00","0.2","66","2.3","0.1"
"Vantaa Helsinki-Vantaa airport","2013","3","1","02:00","0","64","-1.3","-5.3"
"Vantaa Helsinki-Vantaa airport","2013","3","2","02:00","2.5","63","-9.7","-15.9"
"Vantaa Helsinki-Vantaa airport","2013","3","3","02:00","0.1","75","-8.1","-9.2"
"Vantaa Helsinki-Vantaa airport","2013","3","4","02:00","2","74","-10.7","-21.4"
"Vantaa Helsinki-Vantaa airport","2013","3","5","02:00","0","76","-2.4","-6.1"
"Vantaa Helsinki-Vantaa airport","2013","3","6","02:00","0.2","74","0.3","0"
"Vantaa Helsinki-Vantaa airport","2013","3","7","02:00","-1","71","-6.1","-11.2"
"Vantaa Helsinki-Vantaa airport","2013","3","8","02:00","0.1","70","-8.7","-18.8"
"Vantaa Helsinki-Vantaa airport","2013","3","9","02:00","-1","70","-9.7","-14"
"Vantaa Helsinki-Vantaa airport","2013","3","10","02:00","-1","70","-12.4","-20.2"
"Vantaa Helsinki-Vantaa airport","2013","3","11","02:00","0.4","70","-8.3","-14.9"
"Vantaa Helsinki-Vantaa airport","2013","3","12","02:00","0.4","72","-8.5","-19"
"Vantaa Helsinki-Vantaa airport","2013","3","13","02:00","0","72","-7.5","-10.6"
